project,exp_ID,linegroup,Experimenter,Experiment description,Date,Device,Temperature,Shaking,CO2,species,carbon_source,cs_conc,base_media,inhibitor,inhibitor_conc,comments
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A1,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Acetate,45.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A10,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,D-arabinose,18.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A11,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,D-arabinose,18.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A12,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,D-arabinose,18.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A2,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Acetate,45.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A3,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Acetate,45.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A4,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Adenosine,9.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A5,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Adenosine,9.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A6,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Adenosine,9.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A7,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Cysteine,30.0,M9 + HMB,,0,
240623_growth_phenotyping,240623_growth_phenotyping_at,240623_growth_phenotyping_at_A8,Snorre Sulheim,Growth phenotypying experiment with Agrobacterium tumefaciens.,26.6.2024,Biotek Synergy 2408,28,Y,N,Agrobacterium tumefaciens,Cysteine,30.0,M9 + HMB,,0,
